username,studiedOnline,code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20
username128,1,MU3Sec2128,Experiment,18-Aug-23,19,Nakhon Pathom,Thailand,4,3,4,4,4,4,4,4,4,4,C,D,A,C,D,A,C,A,A,D,0,0,1,0,0,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username129,1,MU3Sec2129,Control,18-Aug-23,20,Nonthaburin,Thailand,4,3,4,4,4,4,4,3,4,4,C,C,C,D,A,A,C,A,A,A,0,1,0,1,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username130,1,MU3Sec2130,Experiment,18-Aug-23,19,Nakhon Pathom,Thailand,4,5,4,4,4,4,4,3,4,3,A,D,C,D,D,A,C,D,A,B,0,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username131,1,MU3Sec2131,Control,18-Aug-23,19,Ratchaburi,Thailand,4,4,5,4,4,4,4,4,5,5,A,D,A,D,D,B,C,B,A,B,0,0,1,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username132,1,MU3Sec2132,Experiment,18-Aug-23,19,Chonburi,Thailand,4,4,5,4,4,4,4,5,4,4,A,D,A,D,D,B,C,B,A,B,0,0,1,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username133,1,MU3Sec2133,Control,18-Aug-23,19,Bangkok,Thailand,4,5,5,5,5,4,5,5,5,5,A,D,C,D,D,A,C,D,A,B,0,0,0,1,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username134,0,MU3Sec2134,Experiment,,19,Bangkok,Thailand,1,1,2,1,3,4,4,4,1,2,D,C,A,B,C,C,B,D,A,A,1,1,1,0,0,0,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username135,0,MU3Sec2135,Control,,19,Nakhon Pathom,Thailand,4,3,4,4,3,4,3,4,3,4,D,D,A,B,A,D,C,B,A,C,1,0,1,0,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username136,0,MU3Sec2136,Experiment,,19,Bangkok,Thailand,4,3,4,4,5,4,4,3,3,5,B,C,B,A,A,B,C,D,D,A,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username137,0,MU3Sec2137,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,B,B,A,B,A,A,B,B,A,B,0,0,1,0,0,0,1,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username138,1,MU3Sec2138,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,B,D,B,C,D,D,B,D,B,A,0,0,0,0,0,1,1,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username139,0,MU3Sec2139,Control,,19,Udonthani,Thailand,4,4,5,4,5,4,4,4,5,5,B,A,C,B,D,D,C,D,A,A,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username140,1,MU3Sec2140,Experiment,18-Aug-23,20,Yunnan,China,4,4,4,4,4,4,4,4,5,5,D,C,A,D,C,D,B,A,B,B,1,1,1,1,0,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username141,1,MU3Sec2141,Control,18-Aug-23,19,Yunnan,China,4,4,5,2,4,2,4,4,4,4,D,C,A,D,B,B,B,D,B,B,1,1,1,1,1,0,1,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username143,1,MU3Sec2143,Control,18-Aug-23,18,Bangkok,Thailand,4,4,4,3,3,4,5,4,3,3,A,D,C,D,C,B,B,B,A,B,0,0,0,1,0,0,1,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username144,0,MU3Sec2144,Experiment,,20,,,3,3,3,3,3,3,3,3,3,3,D,C,B,A,B,C,A,D,B,D,1,1,0,0,1,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username145,1,MU3Sec2145,Control,18-Aug-23,19,Bangkok,Thailand,4,5,3,3,4,4,3,4,5,4,D,D,C,D,A,B,D,A,B,C,1,0,0,1,0,0,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username146,1,MU3Sec2146,Experiment,18-Aug-23,19,,,4,3,4,3,4,4,3,4,4,3,D,C,B,B,C,D,C,C,D,B,1,1,0,0,0,1,0,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username147,0,MU3Sec2147,Control,,19,Samutprakron,,3,4,3,3,4,5,5,4,3,4,C,A,B,C,B,C,B,A,D,A,0,0,0,0,1,0,1,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username072,0,MU3Sec372,Experiment,18-Aug-23,19,,Thailand,4,3,3,3,3,4,3,3,3,3,C,A,B,D,A,C,B,C,D,A,0,0,0,1,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username148,0,MU3Sec3148,Experiment,18-Aug-23,19,Rayoung,Thailand,4,5,4,3,4,3,4,5,5,4,D,D,C,D,B,A,C,A,B,A,1,0,0,1,1,0,0,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username150,0,MU3Sec3150,Experiment,18-Aug-23,19,Bangkok,Thailand,3,3,4,3,3,4,3,2,3,4,A,C,B,D,D,D,B,A,A,C,0,1,0,1,0,1,1,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username151,0,MU3Sec3151,Control,18-Aug-23,19,Bangkok,Thailand,2,4,4,3,3,4,3,3,4,4,D,B,B,C,C,B,B,D,C,A,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username152,1,MU3Sec3152,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,C,C,C,A,B,B,A,B,B,1,1,0,0,0,0,1,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username153,1,MU3Sec3153,Control,18-Aug-23,18,Bangkok,Thailand,4,4,3,4,4,4,5,5,5,3,D,A,B,D,A,B,A,A,B,A,1,0,0,1,0,0,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username154,0,MU3Sec3154,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,A,C,B,B,D,D,B,A,B,A,0,1,0,0,0,1,1,1,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username160,0,MU3Sec3160,Experiment,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,B,D,B,C,D,C,B,C,A,D,0,0,0,0,0,0,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username161,0,MU3Sec3161,Control,,19,,,5,5,5,5,5,5,5,5,5,5,B,B,B,B,B,B,B,B,B,B,0,0,0,0,1,0,1,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username162,0,MU3Sec3162,Experiment,18-Aug-23,19,,Thailand,3,5,4,3,5,4,4,4,4,4,A,D,C,A,A,D,C,C,C,C,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username164,0,MU3Sec3164,Experiment,18-Aug-23,19,Samut Prakan,Thailand,4,4,5,4,4,4,5,4,4,4,D,D,C,C,B,D,A,A,A,B,1,0,0,0,1,1,0,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username165,1,MU3Sec3165,Control,18-Aug-23,19,Nonthaburi,Thailand,5,5,5,5,5,5,5,5,5,5,A,D,C,C,A,D,C,A,A,B,0,0,0,0,0,1,0,1,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username166,0,MU3Sec3166,Experiment,18-Aug-23,20,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,C,C,C,C,C,C,C,C,C,C,0,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username169,0,MU3Sec3169,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,3,5,5,4,4,5,4,D,C,B,C,B,D,C,A,A,A,1,1,0,0,1,1,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username170,1,MU3Sec3170,Experiment,18-Aug-23,19,Chumphon,Thailand,5,5,5,5,5,5,5,5,5,5,B,C,C,D,B,D,C,A,A,C,0,1,0,1,1,1,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username171,0,MU3Sec3171,Control,18-Aug-23,21,Samut Prakan,Thailand,4,4,4,5,5,4,4,5,4,4,B,C,C,D,A,C,B,A,D,A,0,1,0,1,0,0,1,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username172,0,MU3Sec3172,Experiment,18-Aug-23,19,Nonthaburi,Thailand,3,5,4,5,5,4,5,4,5,5,D,C,B,D,C,B,B,D,A,A,1,1,0,1,0,0,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username173,0,MU3Sec3173,Control,18-Aug-23,20,,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,A,B,C,B,A,C,C,1,0,0,0,1,0,1,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username174,1,MU3Sec3174,Experiment,18-Aug-23,23,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,4,4,D,C,B,A,C,B,A,C,C,C,1,1,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username175,1,MU3Sec3175,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,A,A,C,B,C,B,D,B,A,C,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username176,1,MU3Sec3176,Experiment,18-Aug-23,20,,Thailand,4,4,4,4,4,4,4,4,4,4,C,C,B,C,B,B,C,B,A,C,0,1,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username177,0,MU3Sec3177,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,B,C,C,C,D,A,D,B,D,B,0,1,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username178,0,MU3Sec3178,Experiment,18-Aug-23,20,,Thailand,4,4,5,4,5,5,5,5,5,5,B,B,B,A,A,D,B,A,A,A,0,0,0,0,0,1,1,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username179,0,MU3Sec3179,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,3,3,3,3,3,B,C,D,A,B,C,A,B,C,A,0,1,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username180,0,MU3Sec3180,Experiment,18-Aug-23,19,,Thailand,4,5,5,5,4,5,5,5,5,5,D,B,B,C,B,D,B,D,A,C,1,0,0,0,1,1,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username181,0,MU3Sec3181,Control,18-Aug-23,19,Rayoung,Thailand,5,5,5,5,5,5,5,5,5,5,A,D,D,C,A,B,C,A,B,B,0,0,0,0,0,0,0,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username182,1,MU3Sec3182,Experiment,18-Aug-23,19,Bangkok,Thailand,3,3,4,3,4,2,4,4,3,3,A,B,C,D,A,B,C,D,A,A,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username183,1,MU3Sec3183,Control,18-Aug-23,19,,Thailand,3,1,4,3,3,4,4,4,5,4,D,D,D,C,C,D,B,D,A,B,1,0,0,0,0,1,1,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username184,0,MU3Sec3184,Experiment,18-Aug-23,19,Samut Sakorn,Thailand,4,4,4,4,4,4,4,4,4,4,A,C,D,C,A,B,A,D,A,B,0,1,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username185,0,MU3Sec3185,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,5,4,5,5,5,3,5,A,C,C,D,A,B,A,A,A,B,0,1,0,1,0,0,0,1,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username186,0,MU3Sec3186,Experiment,18-Aug-23,19,Samut Sakorn,Thailand,4,3,3,4,3,3,4,3,3,3,A,B,C,A,B,C,B,B,A,C,0,0,0,0,1,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username187,0,MU3Sec3187,Control,18-Aug-23,19,,Thailand,3,4,4,2,4,4,3,3,3,4,B,C,C,C,C,D,A,A,B,D,0,1,0,0,0,1,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username189,0,MU3Sec3189,Control,18-Aug-23,19,Samut Prakan,Thailand,4,3,4,2,3,4,4,3,4,4,B,D,B,C,A,B,A,B,A,A,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username190,0,MU3Sec3190,Experiment,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,C,C,C,A,A,D,B,C,A,C,0,1,0,0,0,1,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username191,0,MU3Sec3191,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,A,B,A,D,B,B,A,D,1,0,1,0,0,1,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username192,0,MU3Sec3192,Experiment,18-Aug-23,19,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,B,C,B,C,A,C,D,D,1,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username193,0,MU3Sec3193,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,B,C,D,D,B,A,B,B,1,0,0,0,0,1,1,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username194,0,MU3Sec3194,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,A,D,B,C,D,B,B,A,C,A,0,0,0,0,0,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username195,1,MU3Sec3195,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,A,C,A,D,B,A,D,B,A,C,0,1,1,1,1,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username196,0,MU3Sec3196,Experiment,18-Aug-23,18,,Thailand,5,5,5,5,5,5,5,5,5,5,D,D,D,D,D,D,D,D,D,D,1,0,0,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username197,0,MU3Sec3197,Control,18-Aug-23,18,Nakhon Pathom,Thailand,3,3,3,3,3,3,3,3,3,3,D,D,C,D,D,A,B,A,A,B,1,0,0,1,0,0,1,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username198,0,MU3Sec3198,Experiment,18-Aug-23,19,Nonthaburi,Thailand,4,4,4,4,4,4,4,4,4,5,D,D,B,C,B,B,B,B,A,B,1,0,0,0,1,0,1,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username199,0,MU3Sec3199,Control,18-Aug-23,19,Bangkok,Thailand,4,3,3,3,3,3,3,4,3,4,D,D,C,B,B,B,C,A,A,C,1,0,0,0,1,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username200,0,MU3Sec3200,Experiment,18-Aug-23,21,,Thailand,4,4,4,4,5,4,4,4,4,4,D,D,B,D,C,D,C,B,A,D,1,0,0,1,0,1,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username201,0,MU3Sec3201,Control,18-Aug-23,19,Nonthaburi,Thailand,5,5,5,5,5,5,5,5,4,4,A,D,D,C,A,B,C,A,B,D,0,0,0,0,0,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username202,0,MU3Sec3202,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,B,C,C,C,B,A,A,A,1,0,0,0,0,0,1,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username203,0,MU3Sec3203,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,5,4,3,5,4,D,D,B,D,C,B,A,B,A,B,1,0,0,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username204,0,MU3Sec3204,Experiment,18-Aug-23,19,,Thailand,4,4,5,4,4,4,4,4,4,4,D,D,B,D,C,B,A,B,A,B,1,0,0,1,0,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username205,1,MU3Sec3205,Control,18-Aug-23,20,,Thailand,4,4,4,4,4,4,4,4,4,4,D,C,A,D,C,B,B,B,A,D,1,1,1,1,0,0,1,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
