username,studiedOnline,code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20
username050,1,MU3Sec150,Experiment,18-Aug-23,22,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,D,C,A,D,B,C,D,A,A,B,1,1,1,1,1,1,0,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username051,0,MU3Sec151,Control,18-Aug-23,19,Bangkok,Thailand,4,3,4,3,3,2,3,2,4,3,A,C,C,D,D,C,B,A,B,B,0,1,0,1,0,0,1,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username052,1,MU3Sec152,Experiment,18-Aug-23,19,Nonthaburi,Thailand,4,4,4,5,4,4,3,3,4,4,A,B,C,D,B,D,A,A,B,B,0,0,0,1,1,1,0,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username053,1,MU3Sec153,Control,18-Aug-23,19,Bangkok,Thailand,4,5,4,4,5,5,5,5,5,4,A,C,A,C,C,D,C,B,B,B,0,1,1,0,0,1,0,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username054,1,MU3Sec154,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,3,4,4,4,4,4,4,D,B,B,C,C,D,B,B,B,D,1,0,0,0,0,1,1,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username055,1,MU3Sec155,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,D,C,D,B,B,B,D,1,0,0,1,0,1,1,0,1,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username056,1,MU3Sec156,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,3,4,4,3,4,3,3,3,4,4,B,C,A,D,A,C,A,D,B,C,0,1,1,1,0,0,0,0,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username057,1,MU3Sec157,Control,18-Aug-23,20,Nakorn Pathom,Thailand,4,4,5,5,4,4,4,5,5,4,D,C,A,C,B,D,B,A,B,B,1,1,1,0,1,1,1,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username058,1,MU3Sec158,Experiment,18-Aug-23,21,Nakorn Pathom,Thailand,3,4,4,3,4,4,4,3,4,4,D,C,A,D,B,B,C,A,A,B,1,1,1,1,1,1,0,1,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
username059,1,MU3Sec159,Control,18-Aug-23,20,Nakorn Pathom,Thailand,4,4,4,4,4,3,4,4,4,4,D,D,B,C,C,C,B,D,A,A,1,0,0,0,0,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
