code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post11,post12,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,post11grade,post12grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20,translated
MU3Sec3176,Experiment,18-Aug-23,20,,Thailand,4,4,4,4,4,4,4,4,4,4,C,C,B,C,B,B,C,B,A,C,0,1,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3177,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,4,4,4,4,4,B,C,C,C,D,A,D,B,D,B,0,1,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3178,Experiment,18-Aug-23,20,,Thailand,4,4,5,4,5,5,5,5,5,5,B,B,B,A,A,D,B,A,A,A,0,0,0,0,0,1,1,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3179,Control,18-Aug-23,19,,Thailand,4,4,4,4,4,3,3,3,3,3,B,C,D,A,B,C,A,B,C,A,0,1,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3180,Experiment,,19,,,4,5,5,5,4,5,5,5,5,5,D,B,B,C,B,D,B,D,A,C,1,0,0,0,1,1,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3181,Control,,19,Rayoung,,5,5,5,5,5,5,5,5,5,5,A,D,D,C,A,B,C,A,B,B,0,0,0,0,0,0,0,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3182,Experiment,,19,Bangkok,,3,3,4,3,4,2,4,4,3,3,A,B,C,D,A,B,C,D,A,A,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3183,Control,,19,,,3,1,4,3,3,4,4,4,5,4,D,D,D,C,C,D,B,D,A,B,1,0,0,0,0,1,1,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3184,Experiment,,19,Samut Sakorn,,4,4,4,4,4,4,4,4,4,4,A,C,D,C,A,B,A,D,A,B,0,1,0,0,0,0,0,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3185,Control,,19,Bangkok,,4,4,4,5,4,5,5,5,3,5,A,C,C,D,A,B,A,A,A,B,0,1,0,1,0,0,0,1,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3186,Experiment,,19,Samut Sakorn,,4,3,3,4,3,3,4,3,3,3,A,B,C,A,B,C,B,B,A,C,0,0,0,0,1,0,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3187,Control,,19,,,3,4,4,2,4,4,3,3,3,4,B,C,C,C,C,D,A,A,B,D,0,1,0,0,0,1,0,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3189,Control,,19,Samut Prakan,,4,3,4,2,3,4,4,3,4,4,B,D,B,C,A,B,A,B,A,A,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3190,Experiment,,19,,,4,4,4,4,4,4,4,4,4,4,C,C,C,A,A,D,B,C,A,C,0,1,0,0,0,1,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3191,Control,,19,,,4,4,4,4,4,4,4,4,4,4,D,D,A,B,A,D,B,B,A,D,1,0,1,0,0,1,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3192,Experiment,,19,Nakhon Pathom,,4,4,4,4,4,4,4,4,4,4,D,D,B,C,B,C,A,C,D,D,1,0,0,0,1,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3193,Control,,19,,,4,4,4,4,4,4,4,4,4,4,D,D,B,C,D,D,B,A,B,B,1,0,0,0,0,1,1,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MU3Sec3194,Experiment,,19,Bangkok,,4,4,4,4,4,4,4,4,4,4,A,D,B,C,D,B,B,A,C,A,0,0,0,0,0,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
