code,group,date,age,province,country,s1_1,s1_2,s1_3,s1_4,s1_5,s1_6,s1_7,s1_8,s1_9,s1_10,pre1,pre2,pre3,pre4,pre5,pre6,pre7,pre8,pre9,pre10,pre1Grade,pre2Grade,pre3Grade,pre4Grade,pre5Grade,pre6Grade,pre7Grade,pre8Grade,pre9Grade,pre10Grade,preGrades,post1,post2,post3,post4,post5,post6,post7,post8,post9,post10,post1grade,post2grade,post3grade,post4grade,post5grade,post6grade,post7grade,post8grade,post9grade,post10grade,postGrades,s2_1,s2_2,s2_3,s2_4,s2_5,s2_6,s2_7,s2_8,s2_9,s2_10,s2_11,s2_12,s2_13,s2_14,s2_15,s2_16,s2_17,s2_18,s2_19,s2_20
MU3Sec149,Control,18-Aug-23,19,Bangkok,Thailand,4,3,3,3,3,3,3,3,3,3,A,C,A,D,B,D,C,A,B,B,0,1,1,1,1,1,0,1,1,1,8,B,D,C,B,D,B,C,B,D,C,1,1,1,1,1,1,0,0,0,0,6,1,5,5,1,1,4,5,4,3,1,2,3,7,,Yes,Yes,1,,,
MU3Sec150,Experiment,18-Aug-23,22,Bangkok,Thailand,3,3,3,3,3,3,3,3,3,3,D,C,A,D,B,D,D,A,B,B,1,1,1,1,1,1,0,1,1,1,9,B,B,B,D,C,A,C,B,D,B,0,0,1,0,1,0,0,1,1,0,4,1,5,5,5,3,3,4,4,3,1,2,1,4,,Yes,No,1,,,
MU3Sec153,Control,18-Aug-23,19,Bangkok,Thailand,4,5,4,4,5,5,5,5,5,4,A,C,A,C,C,D,C,B,B,B,0,1,1,0,0,1,0,0,1,1,5,B,A,D,C,D,B,D,D,A,B,0,0,0,1,1,0,0,0,0,1,3,1,5,1,2,4,4,4,1,1,1,2,1,5,,No,No,3,,,
MU3Sec154,Experiment,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,3,4,4,4,4,4,4,D,B,B,C,C,D,B,B,B,D,1,0,0,0,0,1,1,0,1,0,4,A,C,C,B,D,D,D,D,D,B,0,1,0,0,1,0,0,0,1,0,3,5,3,3,2,3,1,2,4,5,1,2,3,5,,No,Yes,1,,,
MU3Sec155,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,D,C,D,B,B,B,D,1,0,0,1,0,1,1,0,1,0,5,B,D,A,A,D,A,B,C,D,C,0,1,1,1,0,0,1,1,0,0,5,4,1,2,4,1,3,4,1,2,1,2,4,2,,No,No,1,,,
MU3Sec157,Control,18-Aug-23,20,Nakorn Pathom,Thailand,4,4,5,5,4,4,4,5,5,4,D,C,A,C,B,D,B,A,B,B,1,1,1,0,1,1,1,1,1,1,9,A,A,D,A,D,A,A,A,B,C,1,1,1,1,1,0,1,1,1,0,8,4,2,5,5,4,4,2,1,1,1,2,2,1,,Yes,Yes,4,,,
MU3Sec158,Experiment,18-Aug-23,21,Nakorn Pathom,Thailand,3,4,4,3,4,4,4,3,4,4,D,C,A,D,B,D,C,A,B,B,1,1,1,1,1,1,0,1,1,1,9,A,D,A,A,C,D,C,D,D,D,0,0,0,1,1,0,0,0,0,0,2,5,4,2,1,2,4,1,4,4,1,2,4,1,,Yes,No,1,,,
MU3Sec159,Control,18-Aug-23,20,Nakorn Pathom,Thailand,4,4,4,4,4,3,4,4,4,4,D,D,B,C,C,C,B,D,A,A,1,0,0,0,0,0,1,0,0,0,2,A,A,C,B,D,B,D,B,D,D,1,1,0,0,1,1,1,0,1,0,6,3,5,4,5,1,3,5,1,3,1,2,1,1,,No,Yes,5,,,
MU3Sec160,Experiment,18-Aug-23,20,Samut Sekhen,Thailand,4,4,2,3,4,4,4,3,5,4,D,C,A,D,A,B,B,D,A,B,1,1,1,1,0,0,1,0,0,1,6,A,C,D,A,C,A,B,B,D,C,1,1,0,1,0,0,0,1,1,0,5,3,4,2,1,3,5,2,1,1,1,2,2,6,,Yes,No,4,,,
MU3Sec160,Experiment,18-Aug-23,,,Thailand,5,5,5,5,5,5,5,5,5,5,C,B,A,D,C,B,B,B,A,C,0,0,1,1,0,0,1,0,0,0,3,A,A,D,A,B,C,C,D,C,B,0,1,0,0,0,0,1,0,1,1,4,5,2,3,3,5,3,3,4,5,1,2,1,1,,Yes,No,1,,,
MU3Sec163,Control,18-Aug-23,18,Nonthaburi,Thailand,4,4,4,4,4,4,4,4,4,4,D,B,B,C,C,D,B,B,B,D,1,0,0,0,0,1,1,0,1,0,4,B,A,A,A,B,A,D,B,D,B,0,0,1,0,0,1,1,0,0,1,4,4,5,2,5,3,1,3,1,3,1,2,3,6,,Yes,Yes,1,,,
MU3Sec165,Control,18-Aug-23,18,Bangkok,Thailand,4,4,2,4,5,5,2,5,5,4,D,C,A,D,D,B,B,A,B,A,1,1,1,1,0,0,1,1,1,0,7,B,D,A,B,D,A,B,D,D,D,0,1,0,1,0,0,1,0,0,1,4,5,5,5,1,4,2,3,4,1,1,2,2,5,,No,Yes,3,,,
MU3Sec169,Control,18-Aug-23,,,Thailand,5,5,5,3,5,5,5,5,5,5,C,B,D,A,C,C,A,B,C,A,0,0,0,0,0,0,0,0,0,0,0,C,D,D,B,B,D,B,D,B,A,1,0,0,0,0,0,0,1,0,0,2,1,2,2,5,5,1,2,3,5,1,2,3,1,,Yes,Yes,5,,,
MU3Sec169,Control,18-Aug-23,,,Thailand,4,4,5,5,5,5,5,5,5,5,C,B,C,C,C,B,A,C,B,C,0,0,0,0,0,0,0,0,1,0,1,A,A,B,D,A,B,A,D,D,C,1,1,0,1,0,0,1,1,0,1,6,4,2,3,4,5,3,3,5,2,1,2,1,3,,Yes,No,4,,,
MU3Sec173,Control,18-Aug-23,20,Bangkok,Thailand,4,5,5,4,5,5,5,5,5,5,B,C,B,D,D,A,A,B,A,C,0,1,0,1,0,0,0,0,0,0,2,A,A,A,C,D,D,A,B,D,C,1,1,0,1,0,0,0,1,0,1,5,3,1,5,4,3,4,5,4,3,1,2,4,3,,Yes,No,5,,,
MU3Sec175,Control,18-Aug-23,,,Thailand,4,4,4,5,5,5,5,5,5,5,C,B,A,A,D,C,C,A,A,A,0,0,1,0,0,0,0,1,0,0,2,D,A,A,D,B,C,D,B,D,D,0,0,0,1,1,0,1,0,0,1,4,5,3,4,5,3,3,2,5,5,1,2,1,1,,Yes,Yes,2,,,
MU3Sec176,Experiment,18-Aug-23,,,Thailand,5,5,5,5,5,5,5,5,5,5,D,A,A,B,A,B,A,B,C,A,1,0,1,0,0,0,0,0,0,0,2,C,B,C,C,C,C,C,C,C,C,1,0,0,0,1,0,0,0,0,1,3,1,2,5,3,5,3,1,3,3,1,2,1,6,,No,Yes,2,,,
MU3Sec178,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,3,5,4,5,3,4,5,D,C,A,C,B,B,A,A,A,B,1,1,1,0,1,0,0,1,0,1,6,A,C,C,B,A,D,A,D,C,B,1,1,1,0,0,0,0,1,0,0,4,3,4,5,5,5,4,3,3,3,1,2,4,1,,No,Yes,5,,,
MU3Sec183,Control,18-Aug-23,19,Nakorn Pathom,Thailand,4,4,4,4,3,3,4,4,4,3,C,C,B,D,B,D,B,A,A,C,0,1,0,1,1,1,1,1,0,0,6,A,C,B,A,B,D,A,C,D,B,1,1,0,0,0,0,1,1,1,1,6,1,4,1,1,5,4,1,3,5,1,2,1,2,,No,Yes,1,,,
MU3Sec185,Control,18-Aug-23,20,Samut Sekhen,Thailand,5,5,4,5,5,5,5,5,5,5,B,A,C,C,D,C,C,A,A,D,0,0,0,0,0,0,0,1,0,0,1,D,A,D,A,D,A,C,B,D,C,0,1,1,0,1,1,0,0,1,1,6,1,4,2,2,1,1,3,5,2,1,2,2,3,,Yes,No,3,,,
MU3Sec291,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,C,C,B,D,C,A,D,D,1,0,0,0,1,1,0,1,0,0,4,A,B,D,A,D,B,C,C,D,D,0,0,0,0,1,1,1,0,0,1,4,1,2,1,4,5,3,3,2,1,1,2,3,5,,No,No,1,,,
MU3Sec292,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,3,4,4,4,4,5,4,D,C,C,D,B,D,C,A,A,B,1,1,0,1,1,1,0,1,0,1,7,C,A,C,D,A,C,B,C,C,D,0,1,0,0,0,0,0,1,0,1,3,3,4,1,1,4,3,3,5,2,1,2,3,7,,Yes,No,4,,,
MU3Sec293,Control,18-Aug-23,19,Bangkok,Thailand,4,5,4,4,4,4,4,4,5,5,D,D,A,D,D,B,C,A,A,B,1,0,1,1,0,0,0,1,0,1,5,D,A,C,C,B,A,C,D,A,A,0,0,0,1,0,1,1,0,0,0,3,4,4,4,4,5,5,4,4,2,1,2,4,7,,No,Yes,2,,,
MU3Sec294,Experiment,18-Aug-23,19,Nakhon Pathom,Thailand,3,4,4,4,4,4,4,3,5,4,D,D,A,D,A,D,D,A,A,B,1,0,1,1,0,1,0,1,0,1,6,C,D,B,D,C,B,C,D,A,B,0,0,1,0,0,0,1,1,0,0,3,5,5,4,4,1,5,5,2,5,1,2,2,1,,No,No,4,,,
MU3Sec295,Control,18-Aug-23,19,Bangkok,Thailand,3,4,3,3,4,4,3,3,4,4,A,C,C,D,A,B,D,A,B,B,0,1,0,1,0,0,0,1,1,1,5,B,A,D,D,C,B,A,A,C,B,1,0,0,0,1,0,1,1,1,1,6,1,5,4,2,1,1,4,4,1,1,2,4,3,,No,No,3,,,
MU3Sec296,Experiment,18-Aug-23,19,Bangkok,Thailand,4,5,5,5,4,4,5,5,5,5,A,D,C,D,B,D,C,C,D,B,0,0,0,1,1,1,0,0,0,1,4,D,A,D,B,A,A,D,A,A,B,1,1,1,0,0,0,0,1,0,0,4,3,4,1,1,5,2,1,2,4,1,2,1,4,,No,Yes,4,,,
MU3Sec297,Control,18-Aug-23,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,D,A,C,B,D,C,D,B,A,1,0,1,0,1,1,0,0,1,0,5,D,A,B,C,A,D,A,A,B,C,0,0,1,0,1,1,0,1,0,0,4,1,1,5,5,4,3,5,3,5,1,2,2,1,,No,No,5,,,
MU3Sec299,Control,18-Aug-23,19,Nonthaburin,Thailand,4,4,3,4,4,4,4,5,4,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,D,A,D,A,D,D,C,D,B,C,0,1,1,1,0,0,0,1,1,1,6,2,3,1,1,4,4,5,4,4,1,2,1,5,,Yes,Yes,4,,,
MU3Sec2100,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,4,4,4,4,4,4,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,C,A,B,D,B,C,A,C,C,D,1,1,1,1,0,0,1,0,1,1,7,5,3,4,5,4,3,5,5,5,1,2,3,7,,Yes,Yes,2,,,
MU3Sec2101,Control,18-Aug-23,18,Nonthaburin,Thailand,3,4,3,5,4,4,3,4,3,4,D,C,C,D,D,D,C,B,A,B,1,1,0,1,0,1,0,0,0,1,5,A,D,C,B,A,B,C,D,A,B,1,1,1,0,0,1,1,0,1,1,7,3,2,3,4,1,1,2,4,2,1,2,1,5,,No,No,2,,,
MU3Sec2102,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,5,4,4,3,3,4,5,4,D,D,B,D,D,A,C,B,A,B,1,0,0,1,0,0,0,0,0,1,3,D,C,C,D,A,B,C,D,B,D,0,1,1,0,0,1,1,1,0,1,6,4,4,5,5,5,1,3,5,1,1,2,4,6,,No,No,4,,,
MU3Sec2103,Control,18-Aug-23,19,Bangkok,Thailand,4,4,5,5,4,5,4,4,4,4,A,C,C,D,B,D,B,D,A,B,0,1,0,1,1,1,1,0,0,1,6,A,A,C,A,C,A,C,D,C,D,0,0,1,0,0,1,1,0,1,1,5,4,1,3,2,5,3,5,2,4,1,2,4,7,,Yes,No,1,,,
MU3Sec2104,Experiment,18-Aug-23,20,Nakhon Pathom,Thailand,4,4,4,4,4,4,4,4,5,4,A,B,C,D,C,A,C,A,B,B,0,0,0,1,0,0,0,1,1,1,4,A,D,B,B,D,B,B,A,C,D,1,0,0,0,0,0,1,0,1,1,4,1,4,5,3,5,3,2,3,5,1,2,2,1,,No,No,4,,,
MU3Sec2105,Control,18-Aug-23,19,Pathum Thani,Thailand,4,4,3,3,4,4,4,4,4,3,D,C,C,D,C,D,C,B,B,A,1,1,0,1,0,1,0,0,1,0,5,D,B,A,D,B,B,C,C,B,D,1,1,0,0,1,1,0,1,1,1,7,3,5,2,3,1,5,3,2,1,1,2,4,2,,Yes,No,3,,,
MU3Sec2106,Experiment,18-Aug-23,19,Nonthaburin,Thailand,4,4,5,4,4,4,4,4,4,4,B,C,C,D,A,A,C,C,D,B,0,1,0,1,0,0,0,0,0,1,3,D,D,C,B,D,B,A,B,A,A,0,1,0,0,0,0,1,0,0,1,3,2,3,1,5,1,3,5,4,5,1,2,4,3,,Yes,Yes,1,,,
MU3Sec2107,Control,18-Aug-23,20,Ubon Ratchathani,Thailand,4,5,5,4,5,4,4,5,4,4,D,D,C,D,B,A,C,D,A,C,1,0,0,1,1,0,0,0,0,0,3,A,D,A,D,B,D,B,C,C,D,1,1,1,0,0,1,0,1,0,1,6,1,5,2,1,3,2,2,5,4,1,2,4,4,,No,Yes,1,,,
MU3Sec2108,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,4,3,3,4,4,5,4,D,B,C,D,A,D,C,C,A,B,1,0,0,1,0,1,0,0,0,1,4,D,D,B,B,D,B,D,A,B,C,1,1,0,0,1,1,0,0,1,1,6,2,5,1,5,2,1,4,4,5,1,2,1,3,,Yes,No,3,,,
MU3Sec2109,Control,18-Aug-23,19,Rayong,Thailand,4,5,4,5,4,4,5,4,5,5,A,D,C,D,B,D,C,C,D,B,0,0,0,1,1,1,0,0,0,1,4,C,B,A,C,D,B,B,C,B,B,1,0,0,0,0,0,1,1,0,1,4,5,4,2,2,1,3,1,2,1,1,2,2,5,,No,No,3,,,
MU3Sec2110,Experiment,18-Aug-23,20,Chonburi,Thailand,4,3,4,4,4,4,4,4,3,4,A,D,C,D,B,D,C,A,B,B,0,0,0,1,1,1,0,1,1,1,6,B,A,B,B,D,D,C,C,C,A,0,0,0,1,0,1,1,1,0,1,5,3,5,5,5,1,5,5,2,3,1,2,1,1,,No,No,1,,,
MU3Sec2111,Control,18-Aug-23,20,Suphanburi,Thailand,4,4,4,4,4,4,4,4,4,4,A,D,C,D,B,D,C,C,A,B,0,0,0,1,1,1,0,0,0,1,4,A,B,C,C,D,A,A,B,D,B,0,0,1,1,0,0,1,1,0,1,5,4,4,3,2,4,4,2,2,1,1,2,1,5,,Yes,No,2,,,
MU3Sec2112,Experiment,18-Aug-23,18,Nonthaburin,Thailand,5,5,5,4,4,4,5,5,5,5,D,D,C,D,B,D,C,A,B,C,1,0,0,1,1,1,0,1,1,0,6,A,C,C,B,B,B,D,A,B,C,0,1,0,0,1,1,1,1,0,1,6,1,1,5,4,3,4,1,1,2,1,2,1,2,,Yes,Yes,5,,,
MU3Sec2113,Control,18-Aug-23,19,Nakhon Pathom,Thailand,5,5,5,5,5,4,5,5,5,5,D,D,C,D,B,D,C,A,B,B,1,0,0,1,1,1,0,1,1,1,7,A,D,C,A,A,C,C,A,B,A,0,0,1,1,0,0,1,1,0,1,5,2,4,2,5,1,3,5,4,1,1,2,2,5,,No,Yes,4,,,
MU3Sec2114,Experiment,18-Aug-23,19,Nonthaburin,Thailand,5,5,5,2,4,2,4,4,4,4,D,C,B,D,A,D,C,A,A,B,1,1,0,1,0,1,0,1,0,1,6,D,B,D,D,A,B,C,A,B,D,0,0,1,1,1,1,0,1,0,1,6,3,2,2,4,5,3,3,4,4,1,2,2,2,,No,No,4,,,
MU3Sec2115,Control,18-Aug-23,18,Yunnan,China,4,4,4,5,4,5,4,5,5,4,D,C,D,C,B,B,B,D,D,D,1,1,0,0,1,0,1,0,0,0,4,C,A,A,D,C,B,A,D,C,A,0,1,0,0,1,0,1,1,0,1,5,5,2,2,5,2,2,3,2,3,1,2,3,1,,Yes,Yes,3,,,
MU3Sec2116,Experiment,18-Aug-23,18,Rayong,Thailand,4,4,5,4,5,4,4,5,5,4,D,D,C,C,B,A,C,D,B,D,1,0,0,0,1,0,0,0,1,0,3,C,A,D,A,D,A,B,C,D,C,1,1,1,0,0,0,1,0,1,1,6,3,5,3,5,1,1,2,5,4,1,2,3,3,,No,No,3,,,
MU3Sec2122,Experiment,18-Aug-23,19,Bangkok,Thailand,4,4,3,3,3,5,5,4,3,5,D,D,B,C,C,C,D,B,D,C,1,0,0,0,0,0,0,0,0,0,1,C,A,D,A,B,D,B,A,D,D,0,0,1,1,0,0,0,1,1,0,4,5,4,5,4,3,4,3,4,3,1,2,4,4,,No,No,4,,,
MU3Sec2123,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,B,C,D,C,B,C,A,A,D,1,0,0,1,0,0,0,1,0,0,3,D,C,C,B,B,C,B,D,A,B,0,0,1,1,0,1,1,0,0,1,5,2,1,2,5,4,2,4,1,4,1,2,2,3,,No,No,3,,,
MU3Sec2124,Experiment,,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,5,4,D,B,C,D,D,A,C,C,A,B,1,0,0,1,0,0,0,0,0,1,3,D,A,A,C,A,C,A,D,C,C,0,1,1,0,0,0,1,0,0,0,3,1,2,2,3,2,5,4,4,2,1,2,3,7,,Yes,Yes,1,,,
MU3Sec2125,Control,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,5,4,D,D,A,D,A,B,C,C,B,A,1,0,1,1,0,0,0,0,1,0,4,A,D,B,D,B,A,C,B,D,C,1,0,0,0,0,0,0,0,0,1,2,1,4,3,1,5,2,5,3,4,1,2,3,4,,Yes,Yes,1,,,
MU3Sec2126,Experiment,,19,Nakhon Pathom,Thailand,4,3,3,3,4,4,4,4,4,2,D,B,C,C,A,B,C,B,A,D,1,0,0,0,0,0,0,0,0,0,1,C,D,D,A,A,C,A,C,C,D,1,1,0,0,0,0,0,1,0,0,3,2,1,2,4,4,3,4,2,3,1,2,4,3,,No,No,1,,,
MU3Sec2127,Control,,20,Bangkok,Thailand,4,3,4,4,4,3,4,4,3,4,D,B,B,D,C,B,B,D,C,C,1,0,0,1,0,0,1,0,0,0,3,C,C,B,B,A,D,D,B,A,D,1,0,1,0,0,0,0,0,0,0,2,4,1,1,2,2,4,5,1,3,1,2,1,6,,No,No,1,,,
MU3Sec2128,Experiment,,19,Nakhon Pathom,Thailand,4,3,4,4,4,4,4,4,4,4,C,D,A,C,D,A,C,A,A,D,0,0,1,0,0,0,0,1,0,0,2,D,B,D,D,D,C,A,D,A,B,1,1,1,1,1,0,0,1,1,1,8,5,1,4,5,5,5,3,2,1,1,2,1,7,,No,No,5,,,
MU3Sec2129,Control,,20,Nonthaburin,Thailand,4,3,4,4,4,4,4,3,4,4,C,C,C,D,A,A,C,A,A,A,0,1,0,1,0,0,0,1,0,0,3,B,A,C,C,C,C,D,C,B,C,1,0,1,1,1,1,1,0,0,1,7,5,5,4,3,5,2,4,1,2,1,2,2,4,,No,Yes,4,,,
MU3Sec2130,Experiment,,19,Nakhon Pathom,Thailand,4,5,4,4,4,4,4,3,4,3,A,D,C,D,D,A,C,D,A,B,0,0,0,1,0,0,0,0,0,1,2,D,C,A,C,C,B,B,D,A,D,0,0,0,1,1,0,1,1,0,1,5,4,1,1,4,2,3,2,5,1,1,2,4,1,,Yes,Yes,1,,,
MU3Sec2131,Control,,19,Ratchaburi,Thailand,4,4,5,4,4,4,4,4,5,5,A,D,A,D,D,B,C,B,A,B,0,0,1,1,0,0,0,0,0,1,3,A,B,A,A,B,A,D,B,A,C,1,1,1,1,0,1,0,1,1,1,8,1,1,3,3,1,3,1,1,1,1,2,2,3,,Yes,No,4,,,
MU3Sec2132,Experiment,,19,Chonburi,Thailand,4,4,5,4,4,4,4,5,4,4,A,D,A,D,D,B,C,B,A,B,0,0,1,1,0,0,0,0,0,1,3,B,B,B,C,C,D,C,D,D,B,1,0,0,0,0,1,1,0,1,0,4,3,1,5,1,3,5,1,1,2,1,2,1,7,,Yes,Yes,3,,,
MU3Sec2133,Control,,19,Bangkok,Thailand,4,5,5,5,5,4,5,5,5,5,A,D,C,D,D,A,C,D,A,B,0,0,0,1,0,0,0,0,0,1,2,C,A,A,C,B,C,A,A,B,A,1,0,0,0,1,0,1,1,0,0,4,4,5,4,5,3,4,4,3,1,1,2,3,5,,No,No,3,,,
MU3Sec2138,Experiment,,19,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,B,D,B,C,D,D,B,D,B,A,0,0,0,0,0,1,1,0,1,0,3,A,A,B,D,A,B,B,B,B,C,0,1,1,0,1,1,1,1,0,1,7,3,4,3,1,3,2,4,2,3,1,2,4,3,,No,No,1,,,
MU3Sec2140,Experiment,,20,Yunnan,China,4,4,4,4,4,4,4,4,5,5,D,C,A,D,C,D,B,A,B,B,1,1,1,1,0,1,1,1,1,1,9,C,C,A,D,C,B,C,D,C,C,1,1,1,1,0,0,1,0,1,0,6,4,5,4,2,4,3,3,5,4,1,2,1,1,,No,Yes,4,,,
MU3Sec2141,Control,,19,Yunnan,China,4,4,5,2,4,2,4,4,4,4,D,C,A,D,B,B,B,D,B,B,1,1,1,1,1,0,1,0,1,1,8,A,B,A,D,C,A,A,A,C,B,1,0,0,0,0,0,0,0,1,0,2,3,4,3,1,2,4,3,2,1,1,2,2,7,,No,Yes,1,,,
MU3Sec2143,Control,,18,Bangkok,,4,4,4,3,3,4,5,4,3,3,A,D,C,D,C,B,B,B,A,B,0,0,0,1,0,0,1,0,0,1,3,B,D,A,B,C,D,D,B,C,C,1,1,1,0,1,0,1,0,1,0,6,5,3,4,1,1,5,3,5,3,1,2,4,6,,Yes,No,2,,,
MU3Sec2145,Control,,19,Bangkok,,4,5,3,3,4,4,3,4,5,4,D,D,C,D,A,B,D,A,B,C,1,0,0,1,0,0,0,1,1,0,4,B,A,C,C,C,A,C,D,A,C,0,1,1,0,1,0,1,1,0,1,6,4,2,3,1,1,2,2,4,5,1,2,3,3,,No,Yes,1,,,
MU3Sec2146,Experiment,,19,,,4,3,4,3,4,4,3,4,4,3,D,C,B,B,C,D,C,C,D,B,1,1,0,0,0,1,0,0,0,1,4,D,C,A,C,B,C,A,D,C,C,1,1,0,1,0,1,0,1,0,1,6,5,2,5,2,2,1,4,2,1,1,2,4,5,,Yes,No,4,,,
MU3Sec3152,Experiment,18-Aug-23,20,Bangkok,Thailand,4,4,4,4,4,4,4,4,4,4,D,C,C,C,A,B,B,A,B,B,1,1,0,0,0,0,1,1,1,1,6,B,B,D,C,C,C,B,A,C,C,0,1,0,1,0,0,1,1,1,0,5,3,2,1,2,5,1,1,4,2,1,2,4,3,,Yes,Yes,3,,,
MU3Sec3153,Control,18-Aug-23,18,Bangkok,Thailand,4,4,3,4,4,4,5,5,5,3,D,A,B,D,A,B,A,A,B,A,1,0,0,1,0,0,0,1,1,0,4,C,A,A,D,A,D,C,D,C,B,1,1,1,0,0,0,1,1,0,1,6,2,4,5,1,2,1,5,4,1,1,2,1,7,,No,No,5,,,
MU3Sec3165,Control,18-Aug-23,19,Nonthaburi,Thailand,5,5,5,5,5,5,5,5,5,5,A,D,C,C,A,D,C,A,A,B,0,0,0,0,0,1,0,1,0,1,3,D,A,A,D,A,B,C,A,A,C,0,0,1,1,1,1,1,1,1,1,8,2,4,3,3,4,3,2,5,2,1,2,2,1,,No,Yes,4,,,
